ID,LD50,Smiles
146,2,CCNC(=O)NC(=O)C(=NOC)C#N
147,10.248,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
148,0.094,ClC1=CC=C(C(CN2C=NC=N2)(C(C)C3CC3)O)C=C1
149,0.5,CC1=NC(NC3=CC=CC=C3)=NC(C2CC2)=C1
150,2,CC1=NC(NC3=CC=CC=C3)=NC(C2CC2)=C1
151,1.785,Nc2nc(N)nc(NC1CC1)n2
152,0.1237,ClC1=CC(=CN(C)C1=O)C(F)(F)F
153,0.415,CN1CSC(=S)N(C)C1
154,0.498,CN1CSC(=S)N(C)C1
155,5,CCCCCCC=CC(=O)C
156,0.196,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-]
157,2,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2
158,0.00144,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
159,0.0039,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
160,0.216,COC1=C(C=CC(=C1C(=O)O)Cl)Cl
161,1.15,COC1=C(C=CC(=C1C(=O)O)Cl)Cl
162,0.698,Clc1cccc(Cl)c1C#N
163,1.01,CCCCC(CC)COC(=O)[C@@H](C)OC1=C(C=C(C=C1)Cl)Cl
164,0.08,COP(=O)(OC)OC=C(Cl)Cl
165,2.25,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl
166,2.029,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl
167,0.9,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-]
168,0.994,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-]
169,3.2,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-]
170,0.511,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2]
